SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
Microsoft Azure Workxflow Sponsorship,a066cfef-7751-4882-962b-7e03a621eb51,7/25/2023,811e3118-5380-5ee8-a5d9-01d48d0a0627,Azure Purview,Azure Purview Scanning Ingestion and Classification,All,Standard vCore,10.203563,6.428243
Microsoft Azure Workxflow Sponsorship,a066cfef-7751-4882-962b-7e03a621eb51,7/26/2023,811e3118-5380-5ee8-a5d9-01d48d0a0627,Azure Purview,Azure Purview Scanning Ingestion and Classification,All,Standard vCore,9.982546,6.289005
Microsoft Azure Workxflow Sponsorship,a066cfef-7751-4882-962b-7e03a621eb51,8/26/2023,811e3118-5380-5ee8-a5d9-01d48d0a0627,Azure Purview,Azure Purview Scanning Ingestion and Classification,All,Standard vCore,13.224199,8.331241
Microsoft Azure Workxflow Sponsorship,a066cfef-7751-4882-962b-7e03a621eb51,11/30/2023,6fd60a85-00b9-5645-97d8-0282bcf2f617,Azure Grafana Service,Azure Managed Grafana,EU West,Standard User,0,0
Microsoft Azure Workxflow Sponsorship,a066cfef-7751-4882-962b-7e03a621eb51,12/31/2023,6fd60a85-00b9-5645-97d8-0282bcf2f617,Azure Grafana Service,Azure Managed Grafana,EU West,Standard User,0,0
Microsoft Azure Workxflow Sponsorship,a066cfef-7751-4882-962b-7e03a621eb51,7/31/2023,7ce2db1d-59a0-5193-8a57-0431a10622b6,Azure Purview,Azure Purview Data Map,All,Data Map Enrichment - Data Insights Generation vCore,4.5334,3.717388
Microsoft Azure Workxflow Sponsorship,a066cfef-7751-4882-962b-7e03a621eb51,8/7/2023,7ce2db1d-59a0-5193-8a57-0431a10622b6,Azure Purview,Azure Purview Data Map,All,Data Map Enrichment - Data Insights Generation vCore,2.4,1.968
Microsoft Azure Workxflow Sponsorship,a066cfef-7751-4882-962b-7e03a621eb51,8/14/2023,7ce2db1d-59a0-5193-8a57-0431a10622b6,Azure Purview,Azure Purview Data Map,All,Data Map Enrichment - Data Insights Generation vCore,2.5334,2.077388
Microsoft Azure Workxflow Sponsorship,a066cfef-7751-4882-962b-7e03a621eb51,8/21/2023,7ce2db1d-59a0-5193-8a57-0431a10622b6,Azure Purview,Azure Purview Data Map,All,Data Map Enrichment - Data Insights Generation vCore,2.1334,1.749388
Microsoft Azure Workxflow Sponsorship,a066cfef-7751-4882-962b-7e03a621eb51,8/28/2023,7ce2db1d-59a0-5193-8a57-0431a10622b6,Azure Purview,Azure Purview Data Map,All,Data Map Enrichment - Data Insights Generation vCore,4.2666,3.498612
Microsoft Azure Workxflow Sponsorship,a066cfef-7751-4882-962b-7e03a621eb51,9/4/2023,7ce2db1d-59a0-5193-8a57-0431a10622b6,Azure Purview,Azure Purview Data Map,All,Data Map Enrichment - Data Insights Generation vCore,2.4,1.968
Microsoft Azure Workxflow Sponsorship,a066cfef-7751-4882-962b-7e03a621eb51,9/21/2023,c0ce9247-e2a8-479c-bf2e-0499e720ae0d,Application Gateway,Standard v2,EU West,Standard Fixed Cost,0.181111,0.047089
Microsoft Azure Workxflow Sponsorship,a066cfef-7751-4882-962b-7e03a621eb51,11/18/2023,c0ce9247-e2a8-479c-bf2e-0499e720ae0d,Application Gateway,Standard v2,EU West,Standard Fixed Cost,16.268889,4.229911
Microsoft Azure Workxflow Sponsorship,a066cfef-7751-4882-962b-7e03a621eb51,11/19/2023,c0ce9247-e2a8-479c-bf2e-0499e720ae0d,Application Gateway,Standard v2,EU West,Standard Fixed Cost,24,6.24
Microsoft Azure Workxflow Sponsorship,a066cfef-7751-4882-962b-7e03a621eb51,11/20/2023,c0ce9247-e2a8-479c-bf2e-0499e720ae0d,Application Gateway,Standard v2,EU West,Standard Fixed Cost,24,6.24
Microsoft Azure Workxflow Sponsorship,a066cfef-7751-4882-962b-7e03a621eb51,11/21/2023,c0ce9247-e2a8-479c-bf2e-0499e720ae0d,Application Gateway,Standard v2,EU West,Standard Fixed Cost,24,6.24
Microsoft Azure Workxflow Sponsorship,a066cfef-7751-4882-962b-7e03a621eb51,11/22/2023,c0ce9247-e2a8-479c-bf2e-0499e720ae0d,Application Gateway,Standard v2,EU West,Standard Fixed Cost,24,6.24
Microsoft Azure Workxflow Sponsorship,a066cfef-7751-4882-962b-7e03a621eb51,11/23/2023,c0ce9247-e2a8-479c-bf2e-0499e720ae0d,Application Gateway,Standard v2,EU West,Standard Fixed Cost,24,6.24
Microsoft Azure Workxflow Sponsorship,a066cfef-7751-4882-962b-7e03a621eb51,11/24/2023,c0ce9247-e2a8-479c-bf2e-0499e720ae0d,Application Gateway,Standard v2,EU West,Standard Fixed Cost,2.488889,0.647111
Microsoft Azure Workxflow Sponsorship,a066cfef-7751-4882-962b-7e03a621eb51,12/8/2023,c0ce9247-e2a8-479c-bf2e-0499e720ae0d,Application Gateway,Standard v2,EU West,Standard Fixed Cost,22.801111,5.928289
Microsoft Azure Workxflow Sponsorship,a066cfef-7751-4882-962b-7e03a621eb51,12/9/2023,c0ce9247-e2a8-479c-bf2e-0499e720ae0d,Application Gateway,Standard v2,EU West,Standard Fixed Cost,24,6.24
Microsoft Azure Workxflow Sponsorship,a066cfef-7751-4882-962b-7e03a621eb51,12/10/2023,c0ce9247-e2a8-479c-bf2e-0499e720ae0d,Application Gateway,Standard v2,EU West,Standard Fixed Cost,24,6.24
Microsoft Azure Workxflow Sponsorship,a066cfef-7751-4882-962b-7e03a621eb51,12/11/2023,c0ce9247-e2a8-479c-bf2e-0499e720ae0d,Application Gateway,Standard v2,EU West,Standard Fixed Cost,24,6.24
